aug_kl   AUC 0.6263, Accuracy 0.6047, TPR@5% FPR of 0.1689
Min_60.0% renyi_inf   AUC 0.4791, Accuracy 0.5101, TPR@5% FPR of 0.0372
Min_70.0% renyi_05   AUC 0.5030, Accuracy 0.5152, TPR@5% FPR of 0.0270
Min_70.0% renyi_1   AUC 0.5210, Accuracy 0.5389, TPR@5% FPR of 0.0372
Min_70.0% renyi_2   AUC 0.5353, Accuracy 0.5405, TPR@5% FPR of 0.0439
Min_70.0% renyi_inf   AUC 0.4928, Accuracy 0.5186, TPR@5% FPR of 0.0439
Min_80.0% renyi_05   AUC 0.5065, Accuracy 0.5203, TPR@5% FPR of 0.0405
Min_80.0% renyi_1   AUC 0.5241, Accuracy 0.5321, TPR@5% FPR of 0.0372
Min_80.0% renyi_2   AUC 0.5390, Accuracy 0.5422, TPR@5% FPR of 0.0405
Min_80.0% renyi_inf   AUC 0.4939, Accuracy 0.5135, TPR@5% FPR of 0.0473
Min_90.0% renyi_05   AUC 0.5112, Accuracy 0.5220, TPR@5% FPR of 0.0574
Min_90.0% renyi_1   AUC 0.5310, Accuracy 0.5439, TPR@5% FPR of 0.0439
Min_90.0% renyi_2   AUC 0.5443, Accuracy 0.5490, TPR@5% FPR of 0.0304
Min_90.0% renyi_inf   AUC 0.4958, Accuracy 0.5152, TPR@5% FPR of 0.0507
Min_100% renyi_05   AUC 0.5278, Accuracy 0.5405, TPR@5% FPR of 0.0642
Min_100% renyi_1   AUC 0.5436, Accuracy 0.5422, TPR@5% FPR of 0.0676
Min_100% renyi_2   AUC 0.5533, Accuracy 0.5524, TPR@5% FPR of 0.0304
Min_100% renyi_inf   AUC 0.5005, Accuracy 0.5236, TPR@5% FPR of 0.0541
