aug_kl   AUC 0.5279, Accuracy 0.5450, TPR@5% FPR of 0.0600
Min_50.0% renyi_05   AUC 0.7232, Accuracy 0.6733, TPR@5% FPR of 0.1767
Min_50.0% renyi_1   AUC 0.6966, Accuracy 0.6467, TPR@5% FPR of 0.1400
Min_50.0% renyi_2   AUC 0.6799, Accuracy 0.6533, TPR@5% FPR of 0.0867
Min_50.0% renyi_inf   AUC 0.6658, Accuracy 0.6417, TPR@5% FPR of 0.0867
Min_60.0% renyi_05   AUC 0.7247, Accuracy 0.6717, TPR@5% FPR of 0.1933
Min_60.0% renyi_1   AUC 0.7003, Accuracy 0.6417, TPR@5% FPR of 0.1133
Min_60.0% renyi_2   AUC 0.6727, Accuracy 0.6517, TPR@5% FPR of 0.1000
Min_60.0% renyi_inf   AUC 0.6847, Accuracy 0.6617, TPR@5% FPR of 0.0967
Min_70.0% renyi_05   AUC 0.7238, Accuracy 0.6700, TPR@5% FPR of 0.1933
Min_70.0% renyi_1   AUC 0.6982, Accuracy 0.6400, TPR@5% FPR of 0.1267
Min_70.0% renyi_2   AUC 0.6590, Accuracy 0.6433, TPR@5% FPR of 0.1000
Min_70.0% renyi_inf   AUC 0.6474, Accuracy 0.6267, TPR@5% FPR of 0.0800
Min_80.0% renyi_05   AUC 0.7336, Accuracy 0.6867, TPR@5% FPR of 0.2100
Min_80.0% renyi_1   AUC 0.6916, Accuracy 0.6567, TPR@5% FPR of 0.1000
Min_80.0% renyi_2   AUC 0.6646, Accuracy 0.6433, TPR@5% FPR of 0.0767
Min_80.0% renyi_inf   AUC 0.6474, Accuracy 0.6233, TPR@5% FPR of 0.0800
Min_90.0% renyi_05   AUC 0.7254, Accuracy 0.6733, TPR@5% FPR of 0.2000
Min_90.0% renyi_1   AUC 0.6947, Accuracy 0.6733, TPR@5% FPR of 0.1000
Min_90.0% renyi_2   AUC 0.6657, Accuracy 0.6517, TPR@5% FPR of 0.0467
Min_90.0% renyi_inf   AUC 0.6547, Accuracy 0.6250, TPR@5% FPR of 0.0767
Min_100% renyi_05   AUC 0.7279, Accuracy 0.6833, TPR@5% FPR of 0.1833
Min_100% renyi_1   AUC 0.7088, Accuracy 0.6767, TPR@5% FPR of 0.0967
Min_100% renyi_2   AUC 0.6905, Accuracy 0.6583, TPR@5% FPR of 0.0867
Min_100% renyi_inf   AUC 0.6747, Accuracy 0.6517, TPR@5% FPR of 0.1000
