Min_40.0% renyi_1   AUC 0.4098, Accuracy 0.5033, TPR@5% FPR of 0.0367
Min_40.0% renyi_2   AUC 0.4257, Accuracy 0.5017, TPR@5% FPR of 0.0333
Min_40.0% renyi_inf   AUC 0.4497, Accuracy 0.5067, TPR@5% FPR of 0.0367
Min_50.0% renyi_05   AUC 0.4169, Accuracy 0.5017, TPR@5% FPR of 0.0267
Min_50.0% renyi_1   AUC 0.4120, Accuracy 0.5067, TPR@5% FPR of 0.0267
Min_50.0% renyi_2   AUC 0.4210, Accuracy 0.5017, TPR@5% FPR of 0.0400
Min_50.0% renyi_inf   AUC 0.4490, Accuracy 0.5067, TPR@5% FPR of 0.0400
Min_60.0% renyi_05   AUC 0.4215, Accuracy 0.5017, TPR@5% FPR of 0.0200
Min_60.0% renyi_1   AUC 0.4108, Accuracy 0.5050, TPR@5% FPR of 0.0233
Min_60.0% renyi_2   AUC 0.4085, Accuracy 0.5000, TPR@5% FPR of 0.0300
Min_60.0% renyi_inf   AUC 0.4486, Accuracy 0.5100, TPR@5% FPR of 0.0400
Min_70.0% renyi_05   AUC 0.4182, Accuracy 0.5033, TPR@5% FPR of 0.0233
Min_70.0% renyi_1   AUC 0.3997, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_70.0% renyi_2   AUC 0.3890, Accuracy 0.5017, TPR@5% FPR of 0.0300
Min_70.0% renyi_inf   AUC 0.4534, Accuracy 0.5083, TPR@5% FPR of 0.0367
Min_80.0% renyi_05   AUC 0.4148, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_80.0% renyi_1   AUC 0.3934, Accuracy 0.5000, TPR@5% FPR of 0.0167
Min_80.0% renyi_2   AUC 0.3772, Accuracy 0.5017, TPR@5% FPR of 0.0200
Min_80.0% renyi_inf   AUC 0.4576, Accuracy 0.5083, TPR@5% FPR of 0.0333
Min_90.0% renyi_05   AUC 0.4033, Accuracy 0.5000, TPR@5% FPR of 0.0200
Min_90.0% renyi_1   AUC 0.3879, Accuracy 0.5000, TPR@5% FPR of 0.0200
Min_90.0% renyi_2   AUC 0.3670, Accuracy 0.5033, TPR@5% FPR of 0.0167
Min_90.0% renyi_inf   AUC 0.4622, Accuracy 0.5100, TPR@5% FPR of 0.0500
Min_100% renyi_05   AUC 0.4157, Accuracy 0.5000, TPR@5% FPR of 0.0233
Min_100% renyi_1   AUC 0.3992, Accuracy 0.5000, TPR@5% FPR of 0.0133
Min_100% renyi_2   AUC 0.3766, Accuracy 0.5017, TPR@5% FPR of 0.0133
Min_100% renyi_inf   AUC 0.4643, Accuracy 0.5067, TPR@5% FPR of 0.0567
