aug_kl   AUC 0.5877, Accuracy 0.5845, TPR@5% FPR of 0.0811
Min_60.0% renyi_2   AUC 0.5166, Accuracy 0.5287, TPR@5% FPR of 0.0473
Min_60.0% renyi_inf   AUC 0.5156, Accuracy 0.5270, TPR@5% FPR of 0.0473
Min_70.0% renyi_05   AUC 0.5173, Accuracy 0.5304, TPR@5% FPR of 0.0574
Min_70.0% renyi_1   AUC 0.5167, Accuracy 0.5220, TPR@5% FPR of 0.0541
Min_70.0% renyi_2   AUC 0.5140, Accuracy 0.5287, TPR@5% FPR of 0.0541
Min_70.0% renyi_inf   AUC 0.5135, Accuracy 0.5304, TPR@5% FPR of 0.0608
Min_80.0% renyi_05   AUC 0.5180, Accuracy 0.5321, TPR@5% FPR of 0.0574
Min_80.0% renyi_1   AUC 0.5176, Accuracy 0.5287, TPR@5% FPR of 0.0608
Min_80.0% renyi_2   AUC 0.5112, Accuracy 0.5304, TPR@5% FPR of 0.0473
Min_80.0% renyi_inf   AUC 0.5082, Accuracy 0.5253, TPR@5% FPR of 0.0473
Min_90.0% renyi_05   AUC 0.5185, Accuracy 0.5321, TPR@5% FPR of 0.0473
Min_90.0% renyi_1   AUC 0.5171, Accuracy 0.5321, TPR@5% FPR of 0.0541
Min_90.0% renyi_2   AUC 0.5102, Accuracy 0.5304, TPR@5% FPR of 0.0574
Min_90.0% renyi_inf   AUC 0.5038, Accuracy 0.5186, TPR@5% FPR of 0.0541
Min_100% renyi_05   AUC 0.5180, Accuracy 0.5355, TPR@5% FPR of 0.0405
Min_100% renyi_1   AUC 0.5187, Accuracy 0.5389, TPR@5% FPR of 0.0372
Min_100% renyi_2   AUC 0.5110, Accuracy 0.5236, TPR@5% FPR of 0.0439
Min_100% renyi_inf   AUC 0.5037, Accuracy 0.5203, TPR@5% FPR of 0.0608
